Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
76	1	4	21	2	4	1	2	1	2	2	6	7	1		2	4	2	90	2200	7	314	Baixa	Solteiro
77	1	3	22	1	1	1	2	1	2	2	3	4	1		3	3	2	400	865	4	216	Média	Solteiro
78	1	2	18	1	1	1	3	1	2	2	5	8	1		1	4	3		1	8	0	99	Solteiro
79	1	2	18	2	1	1	2	2		1	5	7	1		2	4	2	145	610	7	87	99	Solteiro
80	1	3	17	2	4	1	3	2		2	3	6	6	barraco	1	3	3		520	4	130	Baixa	Solteiro
81	1	3	17	2	4	1	1	2		2	5	6	1		3	3	3		800	6	133	Baixa	Solteiro
82	1	3	20	1	1	1	2	1	2	2	5	6	1		4	3	3		1	98	0	99	União estável
83	1	3	21	2	2	1	1	2		2	3	4	1		1	3	3		350	4	88	Baixa	Solteiro
84	1	3	21	1	1	1	1	2		2	3	12	1		1	4	3		600	12	50	Média	Solteiro
85	1	4	19	1	1	1	3	1	1	2	6	7	1		1	3	3		700	98	7	Baixa	Solteiro
86	1	4	15	1	1	1	3	1	1	2	3	9	1		1	3	3		600	9	67	Baixa	Solteiro
87	1	2	20	1	1	1	2	2		2	3	3	1		3	3	4	100	500	3	167	Média	União estável
88	1	3	20	1	1	1	3	1	1	2	4	3	1		3	3	3		100	3	33	Baixa	União estável
89	1	4	21	1	1	1	3	1	2	2	6	5	2		1	4	1	530	650	5	130	Baixa	Solteiro
90	1	4	21	1	1	1	3	2		2	5	3	1		3	3	3		450	3	150	Baixa	Casado
91	1	4	20	1	1	1	3	2		2	5	7	1		1	4	1	530	1200	7	171	Média	Solteiro
92	1	2	15	1	1	1	3	2		2	3	5	1		1	3	1	80	600	98	6	Média	Solteiro
93	1	4	18	1	1	1	1	1	1	2	6	3	1		1	4	3		1000	3	333	99	99
94	1	3	19	1	1	1	3	2		2	3	5	1		1	4	3		400	5	80	99	Solteiro
95	1	2	19	1	1	1	2	1	1	1	3	4	1		3	3	3		400	4	100	99	Solteiro
96	1	4	18	1	1	1	3	1	1	2	3	3	3		3	3	3		240	3	80	99	Solteiro
97	1	3	18	2	4	1	3	2		2	3	4	1		1	3	1	400	600	4	150	Média	Solteiro
98	1	3	20	1	1	1	3	2		2	3	4	1		3	3	3		465	4	116	Baixa	Solteiro
99	1	3	21	1	1	1	3	2		1	4	3	1		3	3	2	100	200	3	67	Média	Solteiro
100	1	3	19	1	1	1	1	1	1	2	5	8	1		1	4	2	90	800	8	100	Baixa	Solteiro
101	3	1	1	1	1	1	3	2		2	3	5	1		1	5	3		2500	5	500	Média	Solteiro
102	1	4	21	2	3	1	3	1	1	2	5	4	1		3	3	2	350	400	4	100	Baixa	Solteiro
103	1	4	17	1	1	1	2	1	1	1	5	6	1		2	4	2	100	1000	6	167	Baixa	Solteiro
104	1	2	21	1	1	1	2	2		1	3	4	1		2	3	1	300	900	4	225	Baixa	Casado
105	1	3	17	1	1	1	3	2		1	5	3	1		1	3	3		465	3	155	99	Solteiro
106	1	4	19	1	1	1	3	2		2	5	5	1		1	3	3		300	5	60	Média	Solteiro
107	1	3	19	2	2	1	2	1	1	2	3	6	3		3	3	3		500	5	100	Média	Solteiro
108	1	4	21	1	1	1	3	1	2	2	3	2	6	barraco	1	3	2	90	90	2	45	Baixa	Solteiro
109	1	2	17	1	1	1	98	2		2	3	7	1		1	4	3		465	7	66	99	Solteiro
110	1	2	17	1	1	1	3	2		2	5	6	1		1	3	3		324	6	54	Média	Solteiro
111	1	2	20	1	1	1	1	1	2	2	4	5	1		1	4	3		465	4	116	99	Solteiro
112	1	2	19	1	1	1	3	2		2	5	2	1		1	3	2	280	1000	2	500	Baixa	Solteiro
113	1	2	20	4	4	1	1	1	2	1	6	3	1		1	4	2	500	800	3	267	Média	Solteiro
114	1	3	19	1	1	1	2	2		2	6	5	6	residência	1	4	3		2000	5	400	Baixa	Solteiro
115	1	2	18	1	1	1	2	2		2	3	4	1		1	3	3		400	4	100	Média	Casado
116	1	3	18	1	1	1	3	1	2	1	5	4	1		1	4	2	30	300	4	75	Baixa	Solteiro
117	2	1	16	1	1	1	3	2		1	5	5	1		3	4	2	60	1000	5	200	Média	Solteiro
118	1	3	16	2	2	1	3	2		2	3	6	1		3	3	3		510	6	85	99	99
119	1	2	21	1	1	1	3	1	2	2	5	4	1		1	3	2	120	640	4	160	Média	Solteiro
120	1	4	22	1	1	1	3	1	1	1	3	2	6	duplex	3	3	3		500	2	250	Média	Solteiro
121	1	4	18	1	1	1	3	2		2	3	5	1		1	3	3		600	5	120	Baixa	Solteiro
122	1	4	19	3	2	1	2	1	2	2	6	3	1		3	3	3		512	3	171	99	Casado
123	1	4	19	1	1	1	6	2		2	3	3	1		1	3	3		1000	3	333	Baixa	Solteiro
124	1	2	21	2	4	1	5	2		2	5	6	1		2	3	2	112	450	6	75	99	Divorciado
125	1	3	17	1	1	1	2	2		1	3	6	1		3	3	2	53	200	6	33	99	Solteiro
126	1	4	22	1	4	1	2	1	1	1	5	3	1		1	3	1	518	700	3	233	Baixa	Solteiro
127	1	2	21	1	3	1	2	1	1	2	3	3	1		1	3	2	200	200	3	67	Média	Solteiro
128	1	2	20	2	2	1	3	1	1	2	5	3	1		3	3	3		400	3	133	Baixa	Solteiro
129	1	2	17	2	4	1	1	1	2	2	5	5	1		1	3	3		1000	4	250	Média	Casado
130	1	2	16	1	4	1	1	1	1	1	5	6	1		1	4	2	52	2000	6	333	Média	Solteiro
131	1	2	18	1	1	1	1	1	1	2	6	3	1		1	3	2	1	1000	3	333	Baixa	Solteiro
132	1	2	16	1	1	1	2	1	1	2	5	7	1		1	3	3		1200	7	171	Baixa	Solteiro
133	1	2	21	1	1	1	3	2		2	6	3	1		1	3	3		400	3	133	Baixa	Solteiro
134	1	2	18	1	1	1	1	1	2	1	3	8	1		1	4	3		500	8	63	Baixa	Solteiro
135	1	2	17	1	1	1	3	2		2	4	6	1		1	4	3		465	6	78	Média	Solteiro
136	1	2	16	1	4	1	1	1	1	1	5	8	1		1	4	3		465	8	58	Baixa	Solteiro
137	1	3	19	1	1	1	1	1	1	1	5	6	1		1	4	3		4000	6	667	Baixa	Solteiro
138	1	2	22	1	1	1	2	2		1	5	4	1		3	3	2	90	465	4	116	Baixa	Solteiro
139	1	2	22	1	1	1	3	1	1	1	5	2	1		3	3	1	490	530	2	265	Baixa	Casado
140	1	2	21	2	2	1	3	2		2	6	6	1		3	3	3		900	6	150	Baixa	Solteiro
141	1	3	18	1	1	1	1	1	1	2	5	5	1		1	3	3		500	5	100	99	99
142	1	2	18	1	4	1	1	1	1	1	5	6	1		1	3	3		600	6	100	Baixa	Solteiro
143	1	2	16	1	1	1	2	2		2	5	4	1		1	3	3		300	4	75	Baixa	Solteiro
144	1	2	17	1	2	1	1	2		2	3	5	1		3	3	3		500	5	100	Baixa	Solteiro
145	1	2	21	1	1	1	3	2		2	3	4	1		3	3	3		250	4	63	Baixa	Solteiro
146	1	2	19	1	1	1	3	1	1	2	6	7	1		1	4	3		500	7	71	Baixa	Solteiro
147	1	3	22	1	1	1	3	2		2	4	7	1		1	4	2	221	1200	7	171	Baixa	Solteiro
148	1	4	20	3	3	1	2	1	2	2	3	3	1		4	3	2	90	200	3	67	Baixa	Solteiro
149	1	2	20	1	1	1	3	2		1	3	4	1		1	4	3		700	4	175	Baixa	Solteiro
150	1	3	17	1	1	1	98	2		2	3	6	1		1	3	3		465	6	78	99	Solteiro
151	1	3	18	1	2	1	6	2		2	3	8	1		1	4	3		465	8	58	Média	Solteiro
152	1	2	20	1	1	1	3	2		2	4	3	1		1	4	3		465	3	155	Baixa	Solteiro
153	1	4	18	1	1	1	5	2		2	5	4	1		1	3	4	250	450	4	113	Baixa	Solteiro
154	1	3	22	1	2	1	3	2		2	4	4	1		3	3	2	112	812	4	203	99	Solteiro
155	1	3	20	1	1	1	3	1	1	1	5	4	1		3	3	2	112	612	4	153	Baixa	Solteiro
156	1	2	20	1	1	1	3	1	1	1	7	5	1		1	4	3		900	5	180	Média	Solteiro
157	1	2	19	1	1	1	1	2		2	3	3	1		3	3	3		400	3	133	Média	Solteiro
158	1	4	19	1	1	1	3	1	1	2	5	2	1		1	3	2	150	200	2	100	Média	Solteiro
159	1	2	20	1	1	1	2	2		2	5	3	1		3	3	4	100	560	3	187	Baixa	Solteiro
160	1	4	22	1	1	1	1	2		2	3	3	1		1	3	2	112	112	3	37	Baixa	Solteiro
161	1	3	19	1	1	1	3	1	2	2	6	3	1		6	3	3		200	3	67	Média	Solteiro
162	1	4	19	1	1	1	1	2		2	5	3	1		3	3	1	300	700	3	233	Baixa	Solteiro
163	1	3	19	1	1	1	3	1	1	2	3	5	1		1	4	3		1500	98	15	Baixa	Solteiro
164	1	3	17	1	1	1	1	1	2	2	4	8	1		1	4	2	132	2000	8	250	Média	Solteiro
165	1	3	20	1	1	1	3	2		2	6	3	1		1	3	3		460	3	153	Baixa	União estável
166	1	3	18	1	1	1	5	1	1	2	3	2	1		3	3	3		0	0		Baixa	Solteiro
167	1	3	20	1	1	1	3	1	2	2	6	5	1		1	4	1	460	1500	5	300	Média	Solteiro
168	1	4	18	1	3	1	2	2		2	3	6	1		3	3	3		815	6	136	99	99
169	1	3	19	1	4	1	3	2		1	3	4	1		1	3	2	90	500	98	5	Baixa	Solteiro
170	1	2	20	3	2	1	5	1	1	2	3	4	1		1	3	3		250	2	125	99	99
171	1	3	19	1	1	1	3	1	6	2	6	6	1		2	4	3		400	6	67	Baixa	Solteiro
172	1	2	20	1	1	1	5	2		1	3	7	1		1	3	3		900	7	129	Média	Solteiro
173	1	2	22	1	1	1	1	1	2	2	5	4	1		1	3	2	90	600	4	150	Baixa	Solteiro
174	1	3	17	2	1	1	1	2		2	3	3	1		1	3	3		460	3	153	99	99
